,gang_num_fcijk,worker_num_fcijk,vector_num_fcijk,Mean Squared Calc Time,Mean Squared Rmass Error,Mean Squared Rmom Error,Mean Squared Rener Error
0,72704,1,416,0.0009569912222333,5.3560630062290834e-59,3.863842236167512e-51,9.348916784773577e-50
1,92672,1,384,0.0009405795268333,5.376565413161853e-59,3.903939123189268e-51,9.617090145549055e-50
2,104448,1,736,999998000001.0,999998000001.0,999998000001.0,999998000001.0
3,504832,1,288,0.0009470660224333,5.414682590180178e-59,3.8608063785411443e-51,9.452714987037117e-50
4,82432,1,384,0.0009478797012333,5.230624625145484e-59,3.9030409860059184e-51,9.198851880285188e-50
5,502784,1,1024,999998000001.0,999998000001.0,999998000001.0,999998000001.0
6,105472,1,640,999998000001.0,999998000001.0,999998000001.0,999998000001.0
7,424448,1,256,0.0007996157760999,6.415510303196111e-59,4.635126579823975e-51,1.1382273689632565e-49
8,255488,1,480,0.0009167695573333,5.5363675459053025e-59,3.8553711707868976e-51,9.367895835979509e-50
9,368128,1,512,0.0009694722582333,5.495268533103493e-59,3.8579622311433424e-51,9.686310783244346e-50
10,25600,1,128,0.0007683630389999,7.987585290018442e-59,5.838786501606265e-51,1.4280043838549653e-49
11,146944,1,832,999998000001.0,999998000001.0,999998000001.0,999998000001.0
12,23552,1,160,0.0007872523430333,7.265680825198445e-59,5.212206747817892e-51,1.2931680209173386e-49
13,436224,1,1024,999998000001.0,999998000001.0,999998000001.0,999998000001.0
14,135680,1,448,0.0009261605965666,5.3766096776570855e-59,3.883640836368249e-51,9.334225853102788e-50
15,155136,1,32,0.0007714425931333,1.5528513390347745e-58,1.0199759120598593e-50,2.9068571585508958e-49
16,512,1,320,0.0010124137740999,1.2874366427535386e-57,6.617633174453372e-50,2.5266249706984748e-48
17,395776,1,576,999998000001.0,999998000001.0,999998000001.0,999998000001.0
18,14848,1,64,0.0007462731130333,9.357534343837062e-59,6.660970810736392e-51,1.7143105995962466e-49
19,28672,1,768,999998000001.0,999998000001.0,999998000001.0,999998000001.0
20,448000,1,864,999998000001.0,999998000001.0,999998000001.0,999998000001.0
21,274432,1,608,999998000001.0,999998000001.0,999998000001.0,999998000001.0
22,395264,1,768,999998000001.0,999998000001.0,999998000001.0,999998000001.0
23,187904,1,96,0.0007957527530999,8.410462819355815e-59,5.873144867077049e-51,1.482878740304761e-49
