,gang_num_fdijk,worker_num_fdijk,vector_num_fdijk,Mean Squared Calc Time,Mean Squared Rmass Error,Mean Squared Rmom Error,Mean Squared Rener Error
0,275456,1,992,0.0010372065568666,4.5117718337572336e-68,1.9632530994555373e-56,6.854806286154742e-57
1,46080,1,608,0.0008828672129666,5.332962896946993e-68,2.2453843546681204e-56,7.898444337599787e-57
2,353792,1,640,0.0008568137209666,5.269421411699928e-68,2.2692312972600315e-56,7.871825749607604e-57
3,197120,1,64,0.0007872271883666,7.644305907213317e-68,3.146535209699704e-56,1.062067854290125e-56
4,419840,1,544,0.0008461412902333,5.355696101615536e-68,2.284275844717323e-56,7.8356066205131e-57
5,382464,1,576,0.0008540246402666,5.1778668132998805e-68,2.207671080265392e-56,7.636332006243752e-57
6,127488,1,512,0.0009231971608666,5.369677442526938e-68,2.2915600561920608e-56,8.051796562805822e-57
7,260608,1,288,0.0007964982409999,6.182900331420321e-68,2.7409469163671105e-56,8.978320854189829e-57
8,180224,1,96,0.0007903151886666,7.978688996063835e-68,3.2981973328475527e-56,1.0885657781470568e-56
9,197120,1,32,0.0008054541020666,6.904742221284104e-68,3.009262932668368e-56,1.0075211579876129e-56
10,239104,1,64,0.0007865414871333,7.484559855757707e-68,3.1697677793126484e-56,1.0740136926028553e-56
11,172544,1,64,0.0007605046569999,7.236510763409619e-68,3.134645663819659e-56,1.0575718643724332e-56
12,85504,1,160,0.0007359944996666,6.608213649649816e-68,2.6633983162495244e-56,9.144150354535053e-57
13,495616,1,768,0.0010616394378666,4.481299114510426e-68,1.9657768109018374e-56,6.781520173808447e-57
14,212480,1,32,0.0008161870191666,6.816784919973154e-68,3.020450145252734e-56,9.988042070286089e-57
15,216064,1,32,0.0007885236669333,7.033013625922806e-68,3.006253455022687e-56,1.0060667813189563e-56
16,512,1,384,0.0008516424879666,3.35565305274746e-66,2.2758609866220022e-54,3.3664993998310464e-55
17,253440,1,32,0.0007414992474999,7.055463772626223e-68,3.0220202063519796e-56,1.032854094500501e-56
18,172544,1,32,0.0007932286429333,6.980398374591519e-68,2.9953566429989414e-56,1.021926775006955e-56
19,90112,1,64,0.0007714847875999,7.347413147931373e-68,3.110865957859677e-56,1.056698293213315e-56
20,512,1,128,0.0007785587492333,3.476844172329629e-66,2.1715988141800525e-54,3.5350153554311245e-55
21,284672,1,384,0.0008444249996999,5.4502645291479405e-68,2.277471111803355e-56,7.931202468658346e-57
22,512,1,768,0.0010768755901666,3.247603044528814e-66,2.2172108892961882e-54,3.2757361885465316e-55
23,512,1,416,0.0009221467878999,3.3506547471285324e-66,2.2683531433022253e-54,3.362426515884357e-55
24,512,1,32,0.0007848341142333,3.805277937645477e-66,2.293452768500181e-54,3.8031354823452655e-55
25,512,1,224,0.0008381145973333,3.416328814604078e-66,2.3102527499097206e-54,3.4258665903743486e-55
26,87040,1,128,0.0007234446456999,6.725319606189013e-68,2.84365909281508e-56,9.584905276069549e-57
27,51200,1,256,0.0007577090369666,5.768555273398791e-68,2.468256416117527e-56,8.430155616896812e-57
28,32768,1,32,0.0007670388732999,7.0100719049678074e-68,2.9992274446839387e-56,9.9271453607783e-57
29,52224,1,64,0.0007659250801666,7.325784881703763e-68,3.1378371036280125e-56,1.0293385295415985e-56
30,27136,1,32,0.0007675762294333,6.8177034289403095e-68,2.9769144987124787e-56,1.0132857069272692e-56
31,43008,1,160,0.0007208735774999,6.2246381984416295e-68,2.682202116019241e-56,9.197977342581299e-57
32,23552,1,384,0.0007962067665333,5.5271332896004574e-68,2.2974591905951734e-56,8.031016351618785e-57
33,138240,1,576,0.0008800218788666,5.2846785658596005e-68,2.231545210221809e-56,7.703988914013548e-57
34,107520,1,832,0.0010655328132666,4.516118887966933e-68,1.9446377906253824e-56,6.875121626286735e-57
35,3584,1,32,0.0007597214821666,4.303922611345735e-67,2.039623826298523e-55,5.123207963621406e-56
36,512,1,800,0.0011460140725333,3.2547717473203944e-66,2.2141512154226918e-54,3.282864838630423e-55
37,512,1,64,0.0007773155429666,3.263485089733953e-66,1.9784747919769742e-54,3.285345881151628e-55
38,512,1,352,0.0008708075166666,3.3557946487749765e-66,2.26689835003612e-54,3.360519451328298e-55
39,10240,1,128,0.0007243369463666,6.5375181307749875e-68,2.787266932027593e-56,9.376284839319996e-57
40,28672,1,320,0.0007970541382666,6.156915820983904e-68,2.777313538274192e-56,9.266146714478379e-57
41,161280,1,544,0.0008644501432666,5.205643415368888e-68,2.277259745277263e-56,7.948792068558687e-57
42,4608,1,256,0.0007572971152666,1.5868241158141288e-67,7.79915143509262e-56,2.201093238405537e-56
43,21504,1,96,0.0007074718151666,7.527461032405242e-68,3.2712504590858507e-56,1.0525202761806997e-56
44,11776,1,192,0.0007341306714666,5.96762749292378e-68,2.563731820683259e-56,8.839520397703977e-57
45,88576,1,32,0.0007299540472333,6.873358335388411e-68,2.9857390989548317e-56,9.842880308727248e-57
46,2560,1,32,0.0007695798754999,4.138721788239092e-67,2.317962523964398e-55,4.571755475695066e-56
47,118272,1,32,0.0007499403116333,6.908780139870049e-68,3.0196563657906004e-56,9.981894746348835e-57
48,512,1,672,0.0011010806030333,3.252412015287013e-66,2.21315120392636e-54,3.2717421922414025e-55
49,5632,1,64,0.0007520656605666,1.0473815996100315e-67,5.089818841641877e-56,1.3813048062085774e-56
50,87040,1,96,0.0007516790414666,7.373490663310753e-68,3.3169434683280277e-56,1.1034993259566619e-56
51,17408,1,32,0.0007991716332999,6.8191090982271204e-68,2.9906577438885944e-56,1.001783224965994e-56
52,10752,1,64,0.0007685489101999,7.712936666230297e-68,3.129645355075453e-56,1.046316628709961e-56
53,6144,1,128,0.0007704846027666,7.963364105128538e-68,4.009148900793218e-56,1.1396951743491317e-56
54,356352,1,480,0.0008409333930999,5.123743578126192e-68,2.220355585203392e-56,7.811687851815638e-57
55,288768,1,224,0.0007602661202999,6.18530764727509e-68,2.664795920240553e-56,9.110404206132872e-57
56,1536,1,32,0.0007326398181999,7.256522473408373e-67,4.237721486329462e-55,8.491484490278111e-56
57,6144,1,32,0.0007427923526999,8.785828253215129e-68,4.555369320175923e-56,1.2681102095438758e-56
58,61440,1,32,0.0007630145738333,6.6093852554137354e-68,2.9245313659686327e-56,9.946421228338889e-57
59,28672,1,96,0.0007755485011666,7.952997851851984e-68,3.355739293454188e-56,1.117235568919487e-56
60,3072,1,64,0.0007674489380333,2.2346301913036543e-67,9.635826699025495e-56,2.5560010496161404e-56
61,430080,1,544,0.0008879598048999,5.452275953279665e-68,2.2713145207558997e-56,7.871933122681583e-57
62,458240,1,32,0.0007632314776666,6.7316287166730495e-68,2.9640553914822487e-56,9.987645942445705e-57
63,118784,1,512,0.0009057219909999,5.410778568917693e-68,2.2677274139186805e-56,7.856897769528135e-57
64,1536,1,64,0.0007202928131999,6.88951359883643e-67,4.1234295990145486e-55,8.311826182776873e-56
65,137728,1,32,0.0007975370207666,7.1887138788566124e-68,3.0161732844983466e-56,1.021564137270314e-56
66,512,1,192,0.0008084861275666,3.2813984990546963e-66,2.228363447358316e-54,3.3021128083394155e-55
67,2048,1,64,0.0007532682842333,1.4955316468487044e-67,1.604712919692138e-55,2.1576489423573964e-56
68,247808,1,480,0.0008868311896333,5.099267035270589e-68,2.231905529273625e-56,7.877619889908759e-57
69,372736,1,928,0.0010330258230333,4.548393968953486e-68,1.9435810275995957e-56,6.780778406473653e-57
70,250368,1,832,0.0010661710496999,4.393524855239115e-68,1.939213327482241e-56,6.862942992441352e-57
71,1024,1,64,0.0007997615688666,1.0385930671965391e-66,5.286948226389298e-55,9.522933846389148e-56
72,64000,1,32,0.6255766865566665,6.9489833533461555e-68,2.9650658479680865e-56,9.917171930761539e-57
73,29696,1,32,0.0007620824298666,7.0358090440026465e-68,3.0090301920670778e-56,1.0160705109132109e-56
74,416768,1,32,0.0007369378906666,6.970363887491408e-68,2.9936553805197505e-56,1.0096914671952129e-56
75,512,1,320,0.0008581142996666,3.4234026632428915e-66,2.3128111269716126e-54,3.4368012477064445e-55
76,512,1,832,0.0010826652806333,3.26463264474722e-66,2.2209022414272938e-54,3.28677649449986e-55
77,131072,1,32,0.0007502073798333,6.9518247828555496e-68,2.9923974153141684e-56,9.918926540436593e-57
78,470016,1,416,0.0008090665093666,5.54540036680073e-68,2.3054000474699336e-56,7.971794893892758e-57
79,341504,1,640,0.0008488733541666,5.4838292113847005e-68,2.2886885886985817e-56,8.034400813303797e-57
